Task,Dataset,Cohort,TaskType,Outcome,Method,Metric,Mean,SD,Repeats,MeanMAE,SDMAE,MeanAUPRC,SDAUPRC
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,Boruta,RMSE,11.717119369917345,0.05362030887755859,50,7.579471491279635,0.03432386842859541,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,ElasticNet,RMSE,11.625251332074853,0.0969864205480077,50,7.542307033235935,0.06931489107828946,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,LLSS,RMSE,11.782378652397881,0.03639921291442754,50,7.6165504243692626,0.03020294322387091,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,Lasso,RMSE,11.630540168142666,0.07728077231343589,50,7.545160564479513,0.057851381592445676,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,LongGroupLasso,RMSE,11.705539084462059,0.05940318714473567,50,7.591517916440794,0.039022983598604684,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,MutualInfo,RMSE,11.728143609670822,0.05927232791809426,50,7.581207152241866,0.04470445661757804,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,OutcomeSNN-FS,RMSE,11.668513826165183,0.059741918268770476,50,7.528682380152255,0.045744159073396115,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,PGEE,RMSE,11.550425173534501,0.07109319413015984,50,7.5696744566317475,0.03598395493293422,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,RandomForest,RMSE,11.716537557842011,0.046778403391725586,50,7.581869768201523,0.04182820062556724,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,SNN-FS,RMSE,11.672622847499479,0.07996083928094135,50,7.573010956167771,0.06885469714257478,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,StabilitySelection,RMSE,12.194959869216683,0.068292879276074,50,7.942772997588712,0.048888466524728044,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,Stabl-RP,RMSE,11.758166183071245,0.04158399545161226,50,7.599886666885843,0.035964998699674795,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,geeVerse,RMSE,11.573578692031562,0.07928443781447413,50,7.580808203508883,0.04041543659797675,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,glmmLasso,RMSE,11.55362707366529,0.06632679567355564,50,7.574880695257563,0.037510206558902456,,
FPG_KARE,KARE,Korea KARE,regression,Fasting plasma glucose,mRMR,RMSE,11.724407618885612,0.05842215602721698,50,7.597405070441763,0.03976259008804365,,
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,Boruta,AUROC,0.8394334045584046,0.029728096283308473,50,,,0.8948923601997132,0.02198200227741726
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,ElasticNet,AUROC,0.8128400997150997,0.036521259400243415,50,,,0.8790811412307185,0.025756091483225323
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,LLSS,AUROC,0.8121709401709402,0.03229805945316741,50,,,0.8750847976122209,0.022789896460058127
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,Lasso,AUROC,0.8296716524216524,0.030298767731749204,50,,,0.8881719929535065,0.023955785815327382
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,LongGroupLasso,AUROC,0.822241809116809,0.03443256691690192,50,,,0.8820171967211649,0.025109065883036578
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,MutualInfo,AUROC,0.7570580484330484,0.03304500978727493,50,,,0.8465389609407115,0.023987952553371203
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,OutcomeSNN-FS,AUROC,0.8370434472934474,0.030526936957154176,50,,,0.8961217884666205,0.02250853294179622
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,PGEE,AUROC,0.8285847578347579,0.025062940618584585,50,,,0.8874701164644456,0.018242730636204338
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,RandomForest,AUROC,0.8265861823361824,0.03148501529043701,50,,,0.8837010893002767,0.023149844430001204
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,SNN-FS,AUROC,0.8260477207977209,0.029807587101478922,50,,,0.8860023597420148,0.02048051168362855
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,StabilitySelection,AUROC,0.8080349002849003,0.03644499625906515,50,,,0.8738256975968604,0.026621616502672033
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,Stabl-RP,AUROC,0.8106502849002848,0.02449357295684398,50,,,0.8772144692112066,0.017050821955075356
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,glmmLasso,AUROC,0.8233924501424501,0.02788312720557598,50,,,0.8848433756117133,0.020032273297449606
GSE41848_MS,GSE41848 MS discovery,GSE41848,classification,MS versus healthy control,mRMR,AUROC,0.8329341168091168,0.027964934938006232,50,,,0.8895691773383665,0.021352713699846555
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,Boruta,AUROC,0.7755199999999999,0.03855038579441144,50,,,0.823569769119769,0.03141916320112017
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,ElasticNet,AUROC,0.61,0.07845642377038992,50,,,0.691035266955267,0.05955906802137705
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,LLSS,AUROC,0.8013866666666668,0.033301165430771634,50,,,0.8513091438191438,0.02765942042090714
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,Lasso,AUROC,0.6355200000000001,0.06577954523579936,50,,,0.715457974987975,0.047893618897081595
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,LongGroupLasso,AUROC,0.7852266666666666,0.040774221548144154,50,,,0.8405164405964406,0.03248260171725284
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,MutualInfo,AUROC,0.79088,0.038706861585342305,50,,,0.8373182395382394,0.03379517703082981
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,OutcomeSNN-FS,AUROC,0.77,0.038294005261950176,50,,,0.8214125444925444,0.03356794442412041
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,PGEE,AUROC,0.7798666666666665,0.03801539251444356,50,,,0.8292475949975947,0.035472991680050955
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,RandomForest,AUROC,0.76416,0.05070506242979167,50,,,0.8149405868205868,0.045005579862880396
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,SNN-FS,AUROC,0.6706133333333334,0.05402541436051553,50,,,0.7400874410774411,0.04588278509052797
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,StabilitySelection,AUROC,0.66888,0.05289795764396291,50,,,0.7455150745550746,0.049169282422111736
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,Stabl-RP,AUROC,0.7843466666666667,0.03817782476588831,50,,,0.8356529100529102,0.03254771189654207
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,glmmLasso,AUROC,0.7817333333333333,0.04185819923906682,50,,,0.8345288648388649,0.03876954111847715
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MS versus healthy control,mRMR,AUROC,0.7915733333333335,0.045663018872135544,50,,,0.839155315055315,0.038083170759592014
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",Boruta,RMSE,1.4240287779464247,0.03753863219364666,50,1.1590904842181593,0.03464116929632686,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",ElasticNet,RMSE,1.4135760801047261,0.03270025247217163,50,1.1484820799622506,0.026657963221771278,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",LLSS,RMSE,1.366092004474584,0.02983291917340113,50,1.099923657423037,0.02527479388914206,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",Lasso,RMSE,1.430049039210839,0.03579726267436258,50,1.1624964265146387,0.034532785637211294,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",LongGroupLasso,RMSE,1.415265872462073,0.037977180630108645,50,1.1480084977362062,0.03280564177562457,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",MutualInfo,RMSE,1.3891297096807471,0.03354689886606096,50,1.1331427145041524,0.030009625290804122,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",OutcomeSNN-FS,RMSE,1.4199904465531323,0.036545328111775084,50,1.1546139807385094,0.03209262241009346,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",PGEE,RMSE,1.3911767594256934,0.034216225430996526,50,1.129499567185915,0.028091401938044276,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",RandomForest,RMSE,1.4301924865923499,0.03275045254898991,50,1.1672052817951515,0.031864990825287084,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",SNN-FS,RMSE,1.4264071760846253,0.0348967389718914,50,1.1601373521688592,0.03232118647819155,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",StabilitySelection,RMSE,1.429919889718501,0.03337852738305138,50,1.1598363719757911,0.033759871055450155,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",Stabl-RP,RMSE,1.3605045281752581,0.03582011377018012,50,1.0985653221955132,0.03286340297945434,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",geeVerse,RMSE,1.3571860612592765,0.029113144430567353,50,1.0927445018693458,0.02717338335103638,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",glmmLasso,RMSE,1.3960808462665941,0.03839533539796571,50,1.1331225354236494,0.03563024940821319,,
GSE48023_H1N1,GSE48023 influenza vaccination,GSE48023,regression,"H1N1 HAI response, Day 14 minus Day 0",mRMR,RMSE,1.3830923222107816,0.04107454779906147,50,1.1218735710228103,0.03415777260853847,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,Boruta,RMSE,0.7754595342396484,0.008569278404563877,50,0.5851061671452374,0.006850415422292366,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,ElasticNet,RMSE,0.7796363770705222,0.008982502560034456,50,0.5907331833960806,0.007307204458933862,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,LLSS,RMSE,0.7773839723296585,0.008388597532016245,50,0.5845052387615737,0.007102210478324222,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,Lasso,RMSE,0.7741377920332227,0.01045338935236111,50,0.5853880707325255,0.010001322874510901,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,LongGroupLasso,RMSE,0.774467159168368,0.009970765999218754,50,0.5814662886924353,0.009069309193833657,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,MutualInfo,RMSE,0.7811236217629287,0.007418852970148924,50,0.5916227402757263,0.005505051988357774,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,OutcomeSNN-FS,RMSE,0.7620962533632378,0.009982966218556561,50,0.5747566391893417,0.008646061321571731,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,PGEE,RMSE,0.76602158393633,0.009488276951517527,50,0.5805958185097105,0.008531824830378204,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,RandomForest,RMSE,0.7754677159596798,0.008518512727769968,50,0.5842341546186619,0.006492412501292641,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,SNN-FS,RMSE,0.7743886318877089,0.010566889220547266,50,0.5849052514376099,0.008546721442623341,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,StabilitySelection,RMSE,0.7755789608025245,0.00946821573068826,50,0.586751310685537,0.009041573616198773,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,Stabl-RP,RMSE,0.7769432314932151,0.008372499545851097,50,0.5827769304522505,0.007272761363187802,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,geeVerse,RMSE,0.7853231840457223,0.007526694457177609,50,0.5951114616911508,0.006064453105939811,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,glmmLasso,RMSE,0.7699608021629277,0.009334422264796055,50,0.5825328249953258,0.008707444939598068,,
IGG,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGG clonal diversity,mRMR,RMSE,0.7770533149348104,0.00862794629449214,50,0.5852803004137908,0.0071434532130706255,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,Boruta,RMSE,1.0701868658552425,0.014720616654571125,50,0.8346921405316441,0.011136661323053802,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,ElasticNet,RMSE,1.0604267665459632,0.013690641945851033,50,0.8286769428322301,0.010368878395858667,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,LLSS,RMSE,1.062815045433871,0.014200769909774506,50,0.8290119772803457,0.011492163139216102,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,Lasso,RMSE,1.0553505518013444,0.01098336798840451,50,0.8250758569649086,0.009147557978738488,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,LongGroupLasso,RMSE,1.0492566976293882,0.013950544922320417,50,0.8154188480434292,0.01060415413624868,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,MutualInfo,RMSE,1.071080654199437,0.009110371134026041,50,0.8338298710074237,0.007940520689725908,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,OutcomeSNN-FS,RMSE,1.0465970270884206,0.012756757804194342,50,0.8135560264758283,0.009317207791380004,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,PGEE,RMSE,1.0464147578216896,0.015516127808532171,50,0.816866233544091,0.012306348470026441,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,RandomForest,RMSE,1.0728214767361854,0.014380508900210687,50,0.8358979553428028,0.012633887786831978,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,SNN-FS,RMSE,1.0574246382190529,0.013813483516577728,50,0.8235844208085067,0.011232970485267944,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,StabilitySelection,RMSE,1.0612733587083003,0.017725111467066672,50,0.8297762045191006,0.014911230399074975,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,Stabl-RP,RMSE,1.0485119835408971,0.0148682790363216,50,0.8152801346674134,0.010701557617018985,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,geeVerse,RMSE,1.0794148717071357,0.01102521631971564,50,0.847350531182926,0.00886768405459017,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,glmmLasso,RMSE,1.0448694951230686,0.014949763455339842,50,0.8137514551420808,0.011411825420542077,,
IGM,Korea COVID-19 (CODA),Korea COVID-19,regression,BCR-IGM clonal diversity,mRMR,RMSE,1.0603912635624282,0.014062041749250572,50,0.8260903851861454,0.011312706423353856,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,Boruta,RMSE,0.7318269158345568,0.003847408201420236,50,0.623113262766501,0.0038434449373301394,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,ElasticNet,RMSE,0.7237946725166597,0.003799797782519845,50,0.6135529366949244,0.0037686373750332887,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,LLSS,RMSE,0.7341829059290572,0.0025945581078771567,50,0.6281426251233215,0.0026813082422029438,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,Lasso,RMSE,0.7252215621104335,0.004164360944172307,50,0.614932466245256,0.004057519365111164,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,LongGroupLasso,RMSE,0.7262841732971995,0.0033960870817355228,50,0.6169573772763625,0.0028822529751605223,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,MutualInfo,RMSE,0.7424263247684963,0.0042029707608917145,50,0.6397381359314581,0.0042980559941430685,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,OutcomeSNN-FS,RMSE,0.7286898516771864,0.003468612000595782,50,0.6192903954882918,0.0032764108364484053,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,PGEE,RMSE,0.7282414305876085,0.0028523727113985427,50,0.619298934042859,0.002721414961546255,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,RandomForest,RMSE,0.7311938355912099,0.0036147752220186094,50,0.6221052450168095,0.003636517486154477,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,SNN-FS,RMSE,0.7267263102331082,0.003805406257144064,50,0.616249320533139,0.0037359478855354205,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,StabilitySelection,RMSE,0.7275209319931994,0.003865389682560369,50,0.6165193535978962,0.0034544642568047398,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,Stabl-RP,RMSE,0.7309753665529845,0.0034630472744889133,50,0.6234601572530686,0.0032150070734415603,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,geeVerse,RMSE,0.7424693187873858,0.00397707702556593,50,0.641356417822951,0.003426678139176775,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,glmmLasso,RMSE,0.7276546002416263,0.0032771438650788225,50,0.6189700015410854,0.0029096271432384143,,
KARE_STATUS,KARE,Korea KARE,regression,Longitudinal status score,mRMR,RMSE,0.7298497216903047,0.0033931212884786626,50,0.6214654608279723,0.003343362498901409,,
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,Boruta,AUROC,0.8457386363636364,0.04523387558900019,50,,,0.6542092944537906,0.09351450873822102
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,ElasticNet,AUROC,0.7297727272727274,0.08175647668026173,50,,,0.5323765095897237,0.12299237776243892
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,LLSS,AUROC,0.8873863636363636,0.04387158430112719,50,,,0.7506969976085643,0.06636659241182406
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,Lasso,AUROC,0.7036363636363636,0.08403118648398276,50,,,0.49045872289338704,0.13638415935567738
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,LongGroupLasso,AUROC,0.8430681818181818,0.06259627430680086,50,,,0.676386410945853,0.10822941773386255
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,MutualInfo,AUROC,0.8692045454545456,0.05415232575228744,50,,,0.71305715963237,0.09695428393168058
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,OutcomeSNN-FS,AUROC,0.7849431818181819,0.07376601315959558,50,,,0.6133279988158665,0.11959513023360818
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,PGEE,AUROC,0.8816111111111111,0.0518556512483405,50,,,0.7833210678210676,0.0897954577415965
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,RandomForest,AUROC,0.8525568181818183,0.06135969052970219,50,,,0.65936343658829,0.10467175022862964
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,SNN-FS,AUROC,0.7832386363636362,0.05743304256128331,50,,,0.5904692908543818,0.10652494708647776
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,StabilitySelection,AUROC,0.7376704545454545,0.07780067399267147,50,,,0.5289987287134189,0.1360998015662228
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,Stabl-RP,AUROC,0.855,0.03968549936489972,50,,,0.6631493441886489,0.08038872322977295
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,glmmLasso,AUROC,0.8643055555555557,0.05814897034842934,50,,,0.7682334776334776,0.1036415700424097
OLINK_COVID,Olink COVID,Olink COVID,classification,Fatal disease,mRMR,AUROC,0.8178977272727272,0.0556827943290303,50,,,0.6503530083061646,0.10643785751432361
PE,Stanford PE,Stanford PE,classification,PE versus term control,Boruta,AUROC,0.7665432098765431,0.06022921233996349,50,,,0.769982141627714,0.0688908465271146
PE,Stanford PE,Stanford PE,classification,PE versus term control,ElasticNet,AUROC,0.792283950617284,0.05590526393986803,50,,,0.7895950839263826,0.061744359572305375
PE,Stanford PE,Stanford PE,classification,PE versus term control,LLSS,AUROC,0.7837654320987653,0.05351073633607013,50,,,0.7938177748405124,0.056507812111472495
PE,Stanford PE,Stanford PE,classification,PE versus term control,Lasso,AUROC,0.8026543209876543,0.06766435811875779,50,,,0.8047052479956246,0.06641822657746098
PE,Stanford PE,Stanford PE,classification,PE versus term control,LongGroupLasso,AUROC,0.8126543209876544,0.062209169556804625,50,,,0.8169614789568365,0.06737765659447768
PE,Stanford PE,Stanford PE,classification,PE versus term control,MutualInfo,AUROC,0.7162345679012344,0.06376829119704834,50,,,0.7331518304918077,0.06268403161563402
PE,Stanford PE,Stanford PE,classification,PE versus term control,OutcomeSNN-FS,AUROC,0.7539506172839505,0.07039235753804243,50,,,0.7696099563751926,0.06712124327725116
PE,Stanford PE,Stanford PE,classification,PE versus term control,PGEE,AUROC,0.7615,0.06252867822773028,50,,,0.8178634920634922,0.046450163289189876
